Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Survived
3,male,19.0,0,0,349228,10.1708,,S,Mr,0
3,male,,0,0,2624,7.225,,C,Mr,0
1,male,58.0,0,0,11771,29.7,B37,C,Mr,0
3,female,,1,0,371110,24.15,,Q,Miss,1
2,male,52.0,0,0,248731,13.5,,S,Mr,0
3,male,22.0,0,0,345767,9.0,,S,Mr,0
1,male,27.0,1,0,113806,53.1,E8,S,Mr,1
2,male,31.0,1,1,C.A. 31921,26.25,,S,Mr,0
3,female,,0,0,330932,7.7875,,Q,Miss,1
3,male,,0,0,364851,7.75,,Q,Mr,0
3,female,23.0,0,0,STON/O2. 3101290,7.925,,S,Miss,0
3,male,2.0,3,1,349909,21.075,,S,Master,0
2,female,28.0,1,0,P/PP 3381,24.0,,C,Mrs,1
1,female,19.0,0,0,112053,30.0,B42,S,Miss,1
2,female,29.0,1,0,2926,26.0,,S,Mrs,1
3,female,45.0,0,1,2691,14.4542,,C,Mrs,0
1,male,80.0,0,0,27042,30.0,A23,S,Mr,1
2,male,36.0,0,0,C.A. 17248,10.5,,S,Mr,0
3,female,16.0,0,0,35851,7.7333,,Q,Miss,1
3,male,30.0,1,0,A/5. 3336,16.1,,S,Mr,0
3,female,30.0,0,0,315084,8.6625,,S,Miss,0
3,female,18.0,0,0,3101265,7.4958,,S,Miss,1
3,male,,0,0,3411,8.7125,,C,Mr,0
2,male,3.0,1,1,230080,26.0,F2,S,Master,1
3,male,,0,0,36568,15.5,,Q,Mr,0
1,male,32.0,0,0,13214,30.5,B50,C,Dr,1
3,female,63.0,0,0,4134,9.5875,,S,Mrs,1
3,male,19.0,0,0,323951,8.05,,S,Mr,0
3,male,30.5,0,0,364499,8.05,,S,Mr,0
3,male,7.0,4,1,3101295,39.6875,,S,Master,0
2,male,31.0,0,0,C.A. 18723,10.5,,S,Mr,0
3,male,24.0,1,0,376566,16.1,,S,Mr,0
1,male,61.0,0,0,36963,32.3208,D50,S,Mr,0
2,male,26.0,0,0,31028,10.5,,S,Mr,0
3,male,21.0,0,0,350029,7.8542,,S,Mr,0
1,female,24.0,0,0,PC 17477,69.3,B35,C,Mlle,1
3,female,,1,0,367230,15.5,,Q,Miss,1
3,female,39.0,0,5,382652,29.125,,Q,Mrs,0
3,female,,0,0,2626,7.2292,,C,Mrs,1
1,female,33.0,0,0,110152,86.5,B77,S,the Countess,1
2,female,19.0,1,0,2908,26.0,,S,Mrs,1
3,male,30.0,0,0,2685,7.2292,,C,Mr,0
2,male,21.0,0,0,S.O.C. 14879,73.5,,S,Mr,0
3,male,59.0,0,0,364500,7.25,,S,Mr,0
1,female,52.0,1,0,36947,78.2667,D20,C,Mrs,1
3,male,28.5,0,0,54636,16.1,,S,Mr,0
3,male,,0,0,2629,7.2292,,C,Mr,0
3,male,,0,0,C.A. 6212,15.1,,S,Mr,0
3,male,,0,0,367655,7.7292,,Q,Mr,0
3,male,21.0,0,0,8475,8.4333,,S,Mr,0
3,female,27.0,0,2,347742,11.1333,,S,Mrs,1
3,male,65.0,0,0,336439,7.75,,Q,Mr,0
3,male,20.0,0,0,6563,9.225,,S,Mr,0
3,male,33.0,0,0,349241,7.8958,,C,Mr,0
3,male,,0,0,368323,6.95,,Q,Mr,0
2,female,28.0,0,0,230434,13.0,,S,Ms,1
1,male,,0,0,113767,50.0,A32,S,Mr,0
3,female,29.0,0,4,349909,21.075,,S,Mrs,0
3,female,1.0,1,1,347742,11.1333,,S,Miss,1
2,male,39.0,0,0,250655,26.0,,S,Mr,0
3,male,,1,1,2661,15.2458,,C,Master,1
3,male,29.0,0,0,315082,7.875,,S,Mr,0
3,female,21.0,1,0,4137,9.825,,S,Miss,0
3,female,39.0,1,5,347082,31.275,,S,Mrs,0
1,male,26.0,0,0,111369,30.0,C148,C,Mr,1
2,male,16.0,0,0,S.O./P.P. 3,10.5,,S,Mr,0
3,male,4.0,4,1,382652,29.125,,Q,Master,0
3,male,,0,0,323592,7.25,,S,Mr,0
3,male,44.0,0,1,371362,16.1,,S,Mr,0
1,male,48.0,1,0,PC 17572,76.7292,D33,C,Mr,1
3,male,11.0,5,2,CA 2144,46.9,,S,Master,0
1,male,48.0,0,0,19952,26.55,E12,S,Mr,1
3,male,22.0,0,0,349206,7.8958,,S,Mr,0
3,female,24.0,0,3,2666,19.2583,,C,Mrs,1
3,male,25.0,0,0,SOTON/O.Q. 3101312,7.05,,S,Mr,0
3,male,6.0,0,1,392096,12.475,E121,S,Master,1
1,female,54.0,1,0,36947,78.2667,D20,C,Miss,1
3,male,,0,0,A./5. 3235,8.05,,S,Mr,0
1,female,45.0,1,1,36928,164.8667,,S,Mrs,1
3,male,,0,0,345777,9.5,,S,Mr,0
3,male,18.0,0,0,A/5 3540,8.05,,S,Mr,1
3,male,,0,0,12460,7.75,,Q,Mr,0
2,male,34.0,1,0,244367,26.0,,S,Mr,0
1,female,36.0,0,2,WE/P 5735,71.0,B22,S,Miss,1
1,male,11.0,1,2,113760,120.0,B96 B98,S,Master,1
3,male,35.0,0,0,349213,7.8958,,C,Mr,0
1,male,38.0,0,1,PC 17582,153.4625,C91,S,Mr,0
3,female,,0,0,330935,8.1375,,Q,Miss,0
1,male,58.0,0,2,35273,113.275,D48,C,Mr,0
3,female,,0,0,370370,7.75,,Q,Miss,1
1,female,40.0,1,1,16966,134.5,E34,C,Mrs,1
3,male,19.0,0,0,358585,14.5,,S,Mr,0
2,male,32.5,1,0,237736,30.0708,,C,Mr,0
2,male,2.0,1,1,230080,26.0,F2,S,Master,1
3,male,8.0,4,1,382652,29.125,,Q,Master,0
1,female,30.0,0,0,PC 17761,106.425,,C,Miss,1
3,male,14.0,5,2,CA 2144,46.9,,S,Mr,0
3,male,,0,0,330979,7.8292,,Q,Mr,0
3,male,39.0,0,0,3101296,7.925,,S,Mr,0
1,male,46.0,0,0,PC 17593,79.2,B82 B84,C,Mr,0
2,female,40.0,0,0,31418,13.0,,S,Miss,1
