Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,Survived,relatives,Alone
1,0,47.0,0,0,38.5,133.0,0,5.0,0,0,1
1,0,36.0,1,0,78.85,67.0,0,5.0,0,1,0
1,0,65.0,0,0,26.55,126.0,0,5.0,0,0,1
3,0,30.0,0,0,8.05,146.0,0,5.0,0,0,1
3,0,17.0,0,0,7.225,146.0,1,5.0,0,0,1
1,1,18.0,0,2,79.65,135.0,0,3.0,1,2,0
3,0,27.0,0,0,7.8958,146.0,0,5.0,0,0,1
1,0,22.0,0,0,135.6333,146.0,1,5.0,0,0,1
2,1,29.0,0,0,10.5,142.0,0,6.0,1,0,1
3,1,15.0,0,0,8.0292,146.0,2,3.0,1,0,1
1,0,29.0,0,0,30.0,112.0,0,5.0,0,0,1
2,0,28.0,0,0,13.0,146.0,0,5.0,0,0,1
3,0,33.0,1,1,20.525,146.0,0,5.0,0,2,0
1,0,17.0,0,2,110.8833,77.0,1,5.0,1,2,0
2,1,34.0,0,0,10.5,142.0,0,6.0,1,0,1
3,0,24.0,0,0,7.8958,146.0,0,5.0,0,0,1
3,1,0.75,2,1,19.2583,146.0,1,3.0,1,3,0
3,0,43.0,0,0,6.45,146.0,0,5.0,0,0,1
2,0,36.5,0,2,26.0,141.0,0,5.0,0,2,0
3,0,24.5,0,0,8.05,146.0,0,5.0,0,0,1
3,0,20.0,1,0,7.925,146.0,0,5.0,1,1,0
3,1,27.0,0,0,7.925,146.0,0,3.0,1,0,1
2,0,30.0,0,0,10.5,146.0,0,5.0,0,0,1
3,1,31.0,1,0,18.0,146.0,0,6.0,0,1,0
3,0,20.0,0,0,8.05,146.0,0,5.0,0,0,1
1,0,37.0,0,1,29.7,54.0,1,5.0,0,1,0
3,0,38.0,0,0,24.15,146.0,2,5.0,0,0,1
2,0,59.0,0,0,13.5,146.0,0,5.0,0,0,1
1,1,42.0,1,0,82.1708,146.0,1,6.0,1,1,0
3,1,23.0,0,0,7.55,146.0,0,3.0,1,0,1
1,1,56.0,0,1,83.1583,70.0,1,6.0,1,1,0
3,0,15.0,0,0,7.725,146.0,2,5.0,0,0,1
2,0,29.0,1,0,27.7208,146.0,1,5.0,0,1,0
3,0,33.0,0,0,8.6625,146.0,1,5.0,0,0,1
3,1,18.0,0,0,6.75,146.0,2,3.0,0,0,1
1,0,19.0,0,0,42.4,146.0,0,5.0,0,0,1
3,0,11.0,0,0,18.7875,146.0,1,5.0,0,0,1
3,1,29.0,0,2,15.2458,146.0,1,6.0,1,2,0
3,0,10.0,3,2,27.9,146.0,0,2.0,0,5,0
3,1,19.0,0,0,7.7333,146.0,2,3.0,1,0,1
2,0,70.0,0,0,10.5,146.0,0,5.0,0,0,1
1,1,17.0,1,0,108.9,74.0,1,6.0,1,1,0
1,1,41.0,0,0,134.5,127.0,1,3.0,1,0,1
1,1,42.0,1,0,52.0,58.0,0,6.0,1,1,0
1,0,18.0,1,0,108.9,74.0,1,5.0,0,1,0
2,1,40.0,0,0,15.75,146.0,0,6.0,1,0,1
3,0,26.0,0,0,7.8958,146.0,0,5.0,0,0,1
2,0,30.0,0,0,13.0,146.0,0,5.0,0,0,1
2,1,4.0,1,1,23.0,146.0,0,3.0,1,2,0
2,0,34.0,0,0,13.0,111.0,0,5.0,1,0,1
1,0,39.0,0,0,0.0,11.0,0,5.0,0,0,1
3,0,19.0,0,0,10.1708,146.0,0,5.0,0,0,1
3,0,35.0,0,0,7.225,146.0,1,5.0,0,0,1
1,0,58.0,0,0,29.7,25.0,1,5.0,0,0,1
3,1,38.0,1,0,24.15,146.0,2,3.0,1,1,0
2,0,52.0,0,0,13.5,146.0,0,5.0,0,0,1
3,0,22.0,0,0,9.0,146.0,0,5.0,0,0,1
1,0,27.0,1,0,53.1,137.0,0,5.0,1,1,0
2,0,31.0,1,1,26.25,146.0,0,5.0,0,2,0
3,1,43.0,0,0,7.7875,146.0,2,3.0,1,0,1
3,0,20.0,0,0,7.75,146.0,2,5.0,0,0,1
3,1,23.0,0,0,7.925,146.0,0,3.0,0,0,1
3,0,2.0,3,1,21.075,146.0,0,2.0,0,4,0
2,1,28.0,1,0,24.0,146.0,1,6.0,1,1,0
1,1,19.0,0,0,30.0,30.0,0,3.0,1,0,1
2,1,29.0,1,0,26.0,146.0,0,6.0,1,1,0
3,1,45.0,0,1,14.4542,146.0,1,6.0,0,1,0
1,0,80.0,0,0,30.0,5.0,0,5.0,1,0,1
2,0,36.0,0,0,10.5,146.0,0,5.0,0,0,1
3,1,16.0,0,0,7.7333,146.0,2,3.0,1,0,1
3,0,30.0,1,0,16.1,146.0,0,5.0,0,1,0
3,1,30.0,0,0,8.6625,146.0,0,3.0,0,0,1
3,1,18.0,0,0,7.4958,146.0,0,3.0,1,0,1
3,0,27.0,0,0,8.7125,146.0,1,5.0,0,0,1
2,0,3.0,1,1,26.0,141.0,0,2.0,1,2,0
3,0,26.0,0,0,15.5,146.0,2,5.0,0,0,1
1,0,32.0,0,0,30.5,33.0,1,0.0,1,0,1
3,1,63.0,0,0,9.5875,146.0,0,6.0,1,0,1
3,0,19.0,0,0,8.05,146.0,0,5.0,0,0,1
3,0,30.5,0,0,8.05,146.0,0,5.0,0,0,1
3,0,7.0,4,1,39.6875,146.0,0,2.0,0,5,0
2,0,31.0,0,0,10.5,146.0,0,5.0,0,0,1
3,0,24.0,1,0,16.1,146.0,0,5.0,0,1,0
1,0,61.0,0,0,32.3208,110.0,0,5.0,0,0,1
2,0,26.0,0,0,10.5,146.0,0,5.0,0,0,1
3,0,21.0,0,0,7.8542,146.0,0,5.0,0,0,1
1,1,24.0,0,0,69.3,24.0,1,9.0,1,0,1
3,1,31.0,1,0,15.5,146.0,2,3.0,1,1,0
3,1,39.0,0,5,29.125,146.0,2,6.0,0,5,0
3,1,35.0,0,0,7.2292,146.0,1,6.0,1,0,1
1,1,33.0,0,0,86.5,40.0,0,10.0,1,0,1
2,1,19.0,1,0,26.0,146.0,0,6.0,1,1,0
3,0,30.0,0,0,7.2292,146.0,1,5.0,0,0,1
2,0,21.0,0,0,73.5,146.0,0,5.0,0,0,1
3,0,59.0,0,0,7.25,146.0,0,5.0,0,0,1
1,1,52.0,1,0,78.2667,96.0,1,6.0,1,1,0
3,0,28.5,0,0,16.1,146.0,0,5.0,0,0,1
3,0,22.0,0,0,7.2292,146.0,1,5.0,0,0,1
3,0,37.0,0,0,15.1,146.0,0,5.0,0,0,1
3,0,42.0,0,0,7.7292,146.0,2,5.0,0,0,1
3,0,21.0,0,0,8.4333,146.0,0,5.0,0,0,1
3,1,27.0,0,2,11.1333,146.0,0,6.0,1,2,0
3,0,65.0,0,0,7.75,146.0,2,5.0,0,0,1
3,0,20.0,0,0,9.225,146.0,0,5.0,0,0,1
3,0,33.0,0,0,7.8958,146.0,1,5.0,0,0,1
3,0,38.0,0,0,6.95,146.0,2,5.0,0,0,1
2,1,28.0,0,0,13.0,146.0,0,7.0,1,0,1
1,0,18.0,0,0,50.0,9.0,0,5.0,0,0,1
3,1,29.0,0,4,21.075,146.0,0,6.0,0,4,0
3,1,1.0,1,1,11.1333,146.0,0,3.0,1,2,0
2,0,39.0,0,0,26.0,146.0,0,5.0,0,0,1
3,0,33.0,1,1,15.2458,146.0,1,2.0,1,2,0
3,0,29.0,0,0,7.875,146.0,0,5.0,0,0,1
3,1,21.0,1,0,9.825,146.0,0,3.0,0,1,0
3,1,39.0,1,5,31.275,146.0,0,6.0,0,6,0
1,0,26.0,0,0,30.0,60.0,1,5.0,1,0,1
2,0,16.0,0,0,10.5,146.0,0,5.0,0,0,1
3,0,4.0,4,1,29.125,146.0,2,2.0,0,5,0
3,0,24.0,0,0,7.25,146.0,0,5.0,0,0,1
3,0,44.0,0,1,16.1,146.0,0,5.0,0,1,0
1,0,48.0,1,0,76.7292,101.0,1,5.0,1,1,0
3,0,11.0,5,2,46.9,146.0,0,2.0,0,7,0
1,0,48.0,0,0,26.55,117.0,0,5.0,1,0,1
3,0,22.0,0,0,7.8958,146.0,0,5.0,0,0,1
3,1,24.0,0,3,19.2583,146.0,1,6.0,1,3,0
3,0,25.0,0,0,7.05,146.0,0,5.0,0,0,1
3,0,6.0,0,1,12.475,118.0,0,2.0,1,1,0
1,1,54.0,1,0,78.2667,96.0,1,3.0,1,1,0
3,0,17.0,0,0,8.05,146.0,0,5.0,0,0,1
1,1,45.0,1,1,164.8667,146.0,0,6.0,1,2,0
3,0,20.0,0,0,9.5,146.0,0,5.0,0,0,1
3,0,18.0,0,0,8.05,146.0,0,5.0,1,0,1
3,0,30.0,0,0,7.75,146.0,2,5.0,0,0,1
2,0,34.0,1,0,26.0,146.0,0,5.0,0,1,0
1,1,36.0,0,2,71.0,20.0,0,3.0,1,2,0
1,0,11.0,1,2,120.0,47.0,0,2.0,1,3,0
3,0,35.0,0,0,7.8958,146.0,1,5.0,0,0,1
1,0,38.0,0,1,153.4625,85.0,0,5.0,0,1,0
3,1,17.0,0,0,8.1375,146.0,2,3.0,0,0,1
1,0,58.0,0,2,113.275,108.0,1,5.0,0,2,0
3,1,31.0,0,0,7.75,146.0,2,3.0,1,0,1
1,1,40.0,1,1,134.5,124.0,1,6.0,1,2,0
3,0,19.0,0,0,14.5,146.0,0,5.0,0,0,1
2,0,32.5,1,0,30.0708,146.0,1,5.0,0,1,0
2,0,2.0,1,1,26.0,141.0,0,2.0,1,2,0
3,0,8.0,4,1,29.125,146.0,2,2.0,0,5,0
1,1,30.0,0,0,106.425,146.0,1,3.0,1,0,1
3,0,14.0,5,2,46.9,146.0,0,5.0,0,7,0
3,0,20.0,0,0,7.8292,146.0,2,5.0,0,0,1
3,0,39.0,0,0,7.925,146.0,0,5.0,0,0,1
1,0,46.0,0,0,79.2,44.0,1,5.0,0,0,1
2,1,40.0,0,0,13.0,146.0,0,3.0,1,0,1
